,x,y,z,tagId,timestamp
401,1765,915,0,26376,2018-10-24 18:39:33.543999910
402,1322,1760,0,26383,2018-10-24 18:39:33.591000080
403,2301,-578,0,26457,2018-10-24 18:39:33.641000032
404,2121,1092,0,26376,2018-10-24 18:39:33.680999994
405,1294,1708,0,26383,2018-10-24 18:39:33.819000006
406,2297,-504,0,26457,2018-10-24 18:39:33.872999907
407,2221,1155,0,26376,2018-10-24 18:39:33.924000025
408,1517,1579,0,26383,2018-10-24 18:39:34.042000055
409,2267,-422,0,26457,2018-10-24 18:39:34.088999987
410,2347,1162,0,26376,2018-10-24 18:39:34.130000114
411,1542,1497,0,26383,2018-10-24 18:39:34.181999922
412,2317,-491,0,26457,2018-10-24 18:39:34.232000113
413,2721,1394,0,26376,2018-10-24 18:39:34.311000109
414,1657,1348,0,26383,2018-10-24 18:39:34.454999924
415,2366,-729,0,26457,2018-10-24 18:39:34.505000114
416,2859,1624,0,26376,2018-10-24 18:39:34.542999983
417,1573,1307,0,26383,2018-10-24 18:39:34.657000065
418,2347,-592,0,26457,2018-10-24 18:39:34.710000038
419,2668,1467,0,26376,2018-10-24 18:39:34.749000072
420,1892,1039,0,26383,2018-10-24 18:39:34.903000116
421,2304,-783,0,26457,2018-10-24 18:39:34.967000008
422,2590,1439,0,26376,2018-10-24 18:39:35.003000021
423,1933,943,0,26383,2018-10-24 18:39:35.118000031
424,2309,-680,0,26457,2018-10-24 18:39:35.167999983
425,2590,1444,0,26376,2018-10-24 18:39:35.203999996
426,1993,942,0,26383,2018-10-24 18:39:35.257999896
427,2279,-578,0,26457,2018-10-24 18:39:35.335999966
428,2710,1809,0,26376,2018-10-24 18:39:35.421000004
429,2234,451,0,26383,2018-10-24 18:39:35.496000051
430,2321,-512,0,26457,2018-10-24 18:39:35.548000097
431,2705,1713,0,26376,2018-10-24 18:39:35.588999987
432,2339,648,0,26383,2018-10-24 18:39:35.704999924
433,2327,-459,0,26457,2018-10-24 18:39:35.753000021
434,2563,1444,0,26376,2018-10-24 18:39:35.822000027
435,2623,605,0,26383,2018-10-24 18:39:35.970999956
436,2352,-501,0,26457,2018-10-24 18:39:36.019000053
437,2611,1553,0,26376,2018-10-24 18:39:36.059999943
438,2668,596,0,26383,2018-10-24 18:39:36.183000088
439,2385,-1271,0,26457,2018-10-24 18:39:36.232000113
440,2618,1575,0,26376,2018-10-24 18:39:36.311000109
441,2955,629,0,26383,2018-10-24 18:39:36.467999935
442,2319,-548,0,26457,2018-10-24 18:39:36.517999887
443,2497,1396,0,26376,2018-10-24 18:39:36.558000088
444,2979,146,0,26383,2018-10-24 18:39:36.671999931
445,2319,-577,0,26457,2018-10-24 18:39:36.721999884
446,2508,1403,0,26376,2018-10-24 18:39:36.760999918
447,3100,389,0,26383,2018-10-24 18:39:36.836999893
448,2328,-549,0,26457,2018-10-24 18:39:36.898000002
449,2714,1716,0,26376,2018-10-24 18:39:36.936000109
450,3183,231,0,26383,2018-10-24 18:39:37.051000118
451,2329,-606,0,26457,2018-10-24 18:39:37.101999998
452,2696,1702,0,26376,2018-10-24 18:39:37.138000011
453,3254,31,0,26383,2018-10-24 18:39:37.187000036
454,2355,-705,0,26457,2018-10-24 18:39:37.234999895
455,2719,1675,0,26376,2018-10-24 18:39:37.311000109
456,3164,111,0,26383,2018-10-24 18:39:37.454999924
457,2316,-752,0,26457,2018-10-24 18:39:37.505000114
458,2693,1641,0,26376,2018-10-24 18:39:37.552999973
459,3243,-74,0,26383,2018-10-24 18:39:37.651000023
460,2326,-513,0,26457,2018-10-24 18:39:37.697999954
461,2676,1686,0,26376,2018-10-24 18:39:37.736000061
462,3467,-191,0,26383,2018-10-24 18:39:37.812000036
463,2337,-561,0,26457,2018-10-24 18:39:37.884000063
464,2661,1635,0,26376,2018-10-24 18:39:37.934000015
465,3409,-497,0,26383,2018-10-24 18:39:38.013000011
